Customer_ID,Company_Name,Industry,Segment,Region,State,Credit_Limit_USD,Payment_Terms,Account_Manager,Email,Acquisition_Date,Status
CUST0000015,AT&T Inc,Media,Enterprise,Southwest,GA,4749774,Net 60,Kelly Donovan,elizabethedwards@at&tinccorporate.com,20-01-2023,Active
CUST0000016,Alphabet Inc,Telecommunications,Enterprise,International,GA,1212880,Net 30,Gregory Jones,mikemoore@alphabetinccorporate.com,02-08-2024,Active
CUST0000017,Oracle Corporation,Healthcare,Enterprise,International,NC,871587,Net 60,Brittney Campbell,jenniferharris@oraclecorporationcorporate.com,29-12-2023,Active
CUST0000018,Comcast Corporation,Telecommunications,Enterprise,Southwest,CA,588481,Net 30,Jessica Smith,landryhannah@comcastcorporationcorporate.com,27-06-2022,Active
CUST0000019,Pfizer Inc,Pharmaceuticals,Enterprise,West,NC,2354148,Net 45,Valerie Williams,jason31@pfizerinccorporate.com,04-02-2022,Active
CUST0000020,Verizon Communications,Media,Enterprise,International,GA,1764540,Net 45,Ashley Brennan,dwalker@verizoncommunicationscorporate.com,14-10-2024,Active
CUST0000021,AT&T Inc,Financial Services,Enterprise,Midwest,MA,1220202,Net 30,Wesley White,benjamin96@at&tinccorporate.com,27-06-2022,Active
CUST0000022,Visa Inc,Telecommunications,Enterprise,Midwest,WA,4319606,Net 30,Matthew Rivera,elizabeth14@visainccorporate.com,22-03-2023,Active
CUST0000023,Oracle Corporation,Consumer Goods,Enterprise,Northeast,PA,4295402,Net 45,Dustin Jordan,steven73@oraclecorporationcorporate.com,03-01-2022,Active
CUST0000024,Alphabet Inc,Financial Services,Enterprise,Northeast,WA,1417400,Net 60,Samuel Jones,kmercado@alphabetinccorporate.com,30-03-2024,Active
CUST0000025,Chevron Corporation,Pharmaceuticals,Enterprise,Southeast,GA,1843315,Net 45,Julie Grant,bryantlaurie@chevroncorporationcorporate.com,22-05-2024,Active
CUST0000026,Verizon Communications,Retail,Enterprise,Southwest,TX,2063526,Net 60,Richard Washington,joshuajones@verizoncommunicationscorporate.com,29-08-2022,Active
CUST0000027,Comcast Corporation,Technology,Enterprise,International,NC,2155277,Net 45,Jennifer Clark,xprice@comcastcorporationcorporate.com,25-12-2022,Active
CUST0000028,Cisco Systems,Technology,Enterprise,International,IL,2226245,Net 45,John Price,dramsey@ciscosystemscorporate.com,30-06-2024,Active
CUST0000029,Meta Platforms,Media,Enterprise,Northeast,GA,2068332,Net 45,David Murphy,wmurphy@metaplatformscorporate.com,29-10-2021,Active
CUST0000030,Verizon Communications,Financial Services,Enterprise,Midwest,PA,4926794,Net 60,Christian Martinez,elliottjeffery@verizoncommunicationscorporate.com,13-08-2022,Active
CUST0000031,Cisco Systems,Media,Enterprise,Southwest,NC,1458248,Net 45,Angela Vaughn,curtisbarton@ciscosystemscorporate.com,06-10-2022,Active
CUST0000032,Verizon Communications,Media,Enterprise,Southeast,FL,1210951,Net 60,Steven Stevens,ryangross@verizoncommunicationscorporate.com,12-01-2024,Active
CUST0000033,JPMorgan Chase,Retail,Enterprise,Midwest,CA,2035488,Net 45,Mary Rogers,lrosales@jpmorganchasecorporate.com,25-12-2022,Active
CUST0000034,Pfizer Inc,Energy,Enterprise,Southwest,NC,1656514,Net 60,Melissa Brewer,bwest@pfizerinccorporate.com,06-01-2025,Active
CUST0000035,Mastercard Inc,Consumer Goods,Enterprise,International,GA,1953198,Net 60,Heather Chavez,john13@mastercardinccorporate.com,22-06-2022,Active
CUST0000036,PepsiCo Inc,Healthcare,Enterprise,Southeast,WA,4283270,Net 60,Michael Martinez,mccannangela@pepsicoinccorporate.com,16-10-2024,Active
CUST0000037,Oracle Corporation,Technology,Enterprise,Southwest,TX,2136856,Net 45,Rodney Morales,rayglenda@oraclecorporationcorporate.com,31-10-2022,Active
CUST0000038,Pfizer Inc,Consumer Goods,Enterprise,Southwest,PA,3986560,Net 60,Scott Branch,ashley09@pfizerinccorporate.com,15-10-2023,Active
CUST0000039,Nike Inc,Healthcare,Enterprise,Northeast,NC,758878,Net 30,Andrew Roberts,jacqueline71@nikeinccorporate.com,30-05-2023,Active
CUST0000040,Coca-Cola Company,Retail,Enterprise,West,FL,1911039,Net 45,Tammy Gonzales,sbarker@coca-colacompanycorporate.com,11-12-2021,Active
CUST0000041,Nike Inc,Pharmaceuticals,Enterprise,West,CA,1458034,Net 45,Shannon Matthews,keyemily@nikeinccorporate.com,03-06-2022,Active
CUST0000042,Intel Corporation,Pharmaceuticals,Enterprise,Northeast,PA,2333262,Net 45,Michael Hodge,robert74@intelcorporationcorporate.com,31-03-2021,Active
CUST0000043,Chevron Corporation,Manufacturing,Enterprise,Northeast,PA,2704653,Net 45,Lisa Jimenez,nwolf@chevroncorporationcorporate.com,27-05-2021,Active
CUST0000044,Tesla Inc,Consumer Goods,Enterprise,Northeast,IL,2260585,Net 60,Susan Murray MD,tyronemoran@teslainccorporate.com,13-02-2024,Active
CUST0000045,Oracle Corporation,Media,Enterprise,International,MA,1892354,Net 60,Gina French,lori44@oraclecorporationcorporate.com,04-10-2024,Active
CUST0000046,Home Depot,Retail,Enterprise,Northeast,NC,3442853,Net 60,Veronica Allen,xhall@homedepotcorporate.com,18-02-2023,Active
CUST0000047,General Electric,Healthcare,Enterprise,Midwest,FL,2927103,Net 60,Nathan Ortiz,charlesharrington@generalelectriccorporate.com,22-07-2023,Active
CUST0000048,Pfizer Inc,Financial Services,Enterprise,Southeast,MA,997326,Net 45,Yolanda Francis,wgood@pfizerinccorporate.com,26-02-2023,Active
CUST0000049,Johnson & Johnson,Healthcare,Enterprise,Southeast,TX,3201943,Net 30,Rebecca Jackson,lynchpatrick@johnson&johnsoncorporate.com,18-10-2022,Active
CUST0000050,Comcast Corporation,Consumer Goods,Enterprise,Southeast,NC,2754162,Net 60,Kevin Fowler,dvaughn@comcastcorporationcorporate.com,22-01-2021,Active
CUST0000051,Salesforce Inc,Financial Services,Enterprise,International,CA,3879357,Net 60,Paula Beltran,swall@salesforceinccorporate.com,22-05-2021,Active
CUST0000052,Intel Corporation,Consumer Goods,Enterprise,Southwest,WA,520745,Net 60,Paul Thompson,kristinwalter@intelcorporationcorporate.com,20-06-2024,Active
CUST0000053,Verizon Communications,Telecommunications,Enterprise,Northeast,GA,3836282,Net 30,Veronica Coffey,christopher60@verizoncommunicationscorporate.com,09-09-2024,Active
CUST0000054,Home Depot,Consumer Goods,Enterprise,Midwest,WA,2878951,Net 45,Arthur Colon,debra12@homedepotcorporate.com,07-07-2022,Active
CUST0000055,Johnson & Johnson,Media,Enterprise,Southwest,WA,906086,Net 30,Melissa Fernandez,nicolepena@johnson&johnsoncorporate.com,15-08-2022,Active
CUST0000056,Verizon Communications,Technology,Enterprise,Northeast,TX,4201774,Net 45,Bryan Charles,ndavis@verizoncommunicationscorporate.com,06-05-2022,Inactive
CUST0000057,Adobe Inc,Retail,Enterprise,International,TX,3032231,Net 30,Steven Smith,vanessafernandez@adobeinccorporate.com,02-02-2022,Active
CUST0000058,Coca-Cola Company,Financial Services,Enterprise,International,WA,2600417,Net 30,Jason Wilson,alvarezkimberly@coca-colacompanycorporate.com,10-10-2023,Active
CUST0000059,Procter & Gamble,Technology,Enterprise,Southwest,FL,2464140,Net 45,Theodore Jones Jr.,cameronhill@procter&gamblecorporate.com,01-10-2022,Active
CUST0000060,Berkshire Hathaway,Technology,Enterprise,Southeast,PA,1153797,Net 30,Jennifer Wilcox,gperry@berkshirehathawaycorporate.com,17-05-2023,Active
CUST0000061,Walt Disney Company,Consumer Goods,Enterprise,Northeast,NY,3382108,Net 30,Erin Martinez,morgan60@waltdisneycompanycorporate.com,30-01-2024,Active
CUST0000062,Adobe Inc,Healthcare,Enterprise,Southwest,CA,2420545,Net 45,Renee Bruce,lynchdiane@adobeinccorporate.com,06-08-2021,Active
CUST0000063,Berkshire Hathaway,Financial Services,Enterprise,Midwest,WA,3010335,Net 30,Amanda Reese,nicholaschavez@berkshirehathawaycorporate.com,22-09-2023,Active
CUST0000064,Johnson & Johnson,Healthcare,Enterprise,Northeast,GA,571091,Net 60,Matthew Tucker,nperry@johnson&johnsoncorporate.com,05-11-2021,Active
CUST0000065,Salesforce Inc,Telecommunications,Enterprise,International,IL,1769818,Net 45,Pamela Duran,mark07@salesforceinccorporate.com,13-11-2022,Active
CUST0000066,Salesforce Inc,Retail,Enterprise,Northeast,CA,1674515,Net 30,Erik Patterson,amckinney@salesforceinccorporate.com,15-02-2023,Active
CUST0000067,Cisco Systems,Telecommunications,Enterprise,Southwest,WA,1672980,Net 30,Eric Morgan,kimberly18@ciscosystemscorporate.com,26-01-2024,Active
CUST0000068,Tesla Inc,Retail,Enterprise,West,NC,2890088,Net 60,Cassandra Mejia,kmarshall@teslainccorporate.com,22-01-2023,Inactive
CUST0000069,Costco Wholesale,Retail,Enterprise,West,NC,4774185,Net 30,Jesse Brown,chase19@costcowholesalecorporate.com,10-11-2024,Active
CUST0000070,PepsiCo Inc,Technology,Enterprise,Southeast,PA,3737042,Net 30,Robert Monroe,wagnergerald@pepsicoinccorporate.com,31-08-2022,Active
CUST0000071,Meta Platforms,Pharmaceuticals,Enterprise,Northeast,WA,3154765,Net 30,Kyle Mccormick,cameron18@metaplatformscorporate.com,07-04-2023,Active
CUST0000072,Netflix Inc,Telecommunications,Enterprise,West,TX,4451157,Net 30,Erin Anderson,lucasrodney@netflixinccorporate.com,28-05-2024,Inactive
CUST0000073,Meta Platforms,Technology,Enterprise,Midwest,IL,834091,Net 30,Randy Conley,stanleynancy@metaplatformscorporate.com,27-11-2024,Active
CUST0000074,Comcast Corporation,Pharmaceuticals,Enterprise,Midwest,GA,3984896,Net 45,Nicole Bowers,amandacollins@comcastcorporationcorporate.com,28-03-2021,Active
CUST0000075,Tesla Inc,Pharmaceuticals,Enterprise,West,NC,1780776,Net 45,Mr. Timothy Dawson,mitchellkathryn@teslainccorporate.com,21-12-2021,Active
CUST0000076,Tesla Inc,Pharmaceuticals,Enterprise,Southeast,TX,4999566,Net 45,Jade Johnson DVM,lacey20@teslainccorporate.com,18-02-2024,Active
CUST0000077,Meta Platforms,Manufacturing,Enterprise,International,MA,2501835,Net 30,Bryan Allen,fbrown@metaplatformscorporate.com,11-10-2021,Active
CUST0000078,Adobe Inc,Financial Services,Enterprise,Southwest,NC,961613,Net 45,Kelly Ward,myerstheodore@adobeinccorporate.com,19-03-2023,Active
CUST0000079,Mastercard Inc,Financial Services,Enterprise,Northeast,TX,595215,Net 30,Carrie Maxwell,epollard@mastercardinccorporate.com,16-01-2022,Active
CUST0000080,Oracle Corporation,Pharmaceuticals,Enterprise,West,FL,1900586,Net 45,Cheryl Kelly,glennmartin@oraclecorporationcorporate.com,22-09-2024,Active
CUST0000081,Coca-Cola Company,Financial Services,Enterprise,Northeast,WA,4101435,Net 45,Rebecca Acosta,jordanwanda@coca-colacompanycorporate.com,11-09-2021,Active
CUST0000082,AbbVie Inc,Media,Enterprise,International,CA,4661987,Net 45,Jeremy Acosta,christina64@abbvieinccorporate.com,22-02-2024,Active
CUST0000083,Amazon.com,Consumer Goods,Enterprise,West,TX,3584388,Net 30,James Bradley,erikarush@amazoncomcorporate.com,10-01-2023,Active
CUST0000084,Berkshire Hathaway,Media,Enterprise,International,CA,2415995,Net 60,Justin Green,jane39@berkshirehathawaycorporate.com,07-06-2024,Active
CUST0000085,Alphabet Inc,Technology,Enterprise,Southeast,NY,4457448,Net 45,Tammy Little,william13@alphabetinccorporate.com,17-04-2021,Active
CUST0000086,Visa Inc,Healthcare,Enterprise,Northeast,GA,4017924,Net 30,Mitchell Mendoza,khammond@visainccorporate.com,05-10-2022,Active
CUST0000087,Netflix Inc,Telecommunications,Enterprise,Midwest,CA,3627341,Net 30,Amy Martinez,kevinmartin@netflixinccorporate.com,25-05-2023,Active
CUST0000088,Amazon.com,Healthcare,Enterprise,Southeast,GA,885276,Net 45,Carolyn Weber,megan90@amazoncomcorporate.com,01-08-2024,Active
CUST0000089,Verizon Communications,Manufacturing,Enterprise,Midwest,WA,1224654,Net 60,Maria Turner,lindacohen@verizoncommunicationscorporate.com,19-12-2023,Active
CUST0000090,Intel Corporation,Retail,Enterprise,Midwest,NC,3049376,Net 60,Vanessa Anderson,zachary15@intelcorporationcorporate.com,26-06-2024,Active
CUST0000091,Verizon Communications,Telecommunications,Enterprise,West,PA,2139322,Net 60,Victor Barrera,sarah53@verizoncommunicationscorporate.com,23-03-2021,Active
CUST0000092,Chevron Corporation,Healthcare,Enterprise,Northeast,MA,700573,Net 30,Kyle Cameron,amitchell@chevroncorporationcorporate.com,24-06-2022,Active
CUST0000093,Apple Inc,Telecommunications,Enterprise,Northeast,MA,3079586,Net 30,James Cole,marcia99@appleinccorporate.com,11-01-2023,Active
CUST0000094,Chevron Corporation,Energy,Enterprise,Southwest,NY,1694315,Net 60,Chad Cook,jstone@chevroncorporationcorporate.com,05-12-2022,Active
CUST0000095,Alphabet Inc,Retail,Enterprise,West,MA,3624689,Net 45,Gary Rodriguez,ysilva@alphabetinccorporate.com,25-04-2024,Active
CUST0000096,Tesla Inc,Media,Enterprise,Northeast,GA,1619995,Net 60,Kenneth Graves,andrewedwards@teslainccorporate.com,08-01-2025,Active
CUST0000097,Meta Platforms,Media,Enterprise,West,NY,4148900,Net 60,James Frye,vbarr@metaplatformscorporate.com,17-10-2024,Active
CUST0000098,Chevron Corporation,Manufacturing,Enterprise,Midwest,WA,3796325,Net 60,Dr. Michele Vaughn,wstewart@chevroncorporationcorporate.com,13-03-2021,Active
CUST0000099,Merck & Co,Telecommunications,Enterprise,Southwest,FL,2459673,Net 30,Angela Bradshaw,julie33@merck&cocorporate.com,16-09-2023,Active
CUST0000100,Johnson & Johnson,Media,Enterprise,Northeast,TX,1386321,Net 30,Margaret Williams,erivera@johnson&johnsoncorporate.com,03-03-2022,Active
CUST0000101,Merck & Co,Energy,Enterprise,Northeast,GA,3505532,Net 30,Randy Pearson,amandasharp@merck&cocorporate.com,22-03-2022,Active
CUST0000102,Verizon Communications,Manufacturing,Enterprise,Northeast,CA,1822173,Net 60,Tanya Rogers,ihays@verizoncommunicationscorporate.com,20-04-2023,Active
CUST0000103,Alphabet Inc,Retail,Enterprise,Midwest,TX,1265149,Net 60,Casey Chase,gwilcox@alphabetinccorporate.com,28-03-2022,Active
CUST0000104,Oracle Corporation,Energy,Enterprise,West,NY,3006857,Net 45,Alexandra Valdez,bryanwilson@oraclecorporationcorporate.com,08-01-2024,Active
CUST0000105,Mastercard Inc,Technology,Enterprise,Southwest,PA,2595915,Net 30,Jennifer Dunn,ztodd@mastercardinccorporate.com,08-09-2021,Active
CUST0000106,Johnson & Johnson,Financial Services,Enterprise,Northeast,NY,2364688,Net 30,Jessica Frazier,gdavis@johnson&johnsoncorporate.com,17-01-2022,Active
CUST0000107,Comcast Corporation,Telecommunications,Enterprise,International,CA,2671144,Net 30,Daniel Jones,ecooper@comcastcorporationcorporate.com,31-12-2024,Inactive
CUST0000108,Meta Platforms,Retail,Enterprise,International,PA,1580381,Net 30,Sergio Knox,qmiller@metaplatformscorporate.com,20-01-2024,Active
CUST0000109,Abbott Laboratories,Financial Services,Enterprise,Northeast,PA,924779,Net 30,Julie Ball,opatel@abbottlaboratoriescorporate.com,08-11-2021,Active
CUST0000110,Adobe Inc,Energy,Enterprise,Southwest,NY,3710567,Net 60,Andrew Harper,sanchezbradley@adobeinccorporate.com,27-03-2022,Active
CUST0000111,Oracle Corporation,Retail,Enterprise,Southeast,FL,2847590,Net 45,Matthew Walker,joshua89@oraclecorporationcorporate.com,06-10-2021,Active
CUST0000112,Alphabet Inc,Media,Enterprise,West,NC,2561792,Net 60,Daisy Perez,lindamelendez@alphabetinccorporate.com,13-08-2023,Active
CUST0000113,Netflix Inc,Pharmaceuticals,Enterprise,Southwest,NY,1235861,Net 45,Sarah Davis,brettbennett@netflixinccorporate.com,11-10-2024,Active
CUST0000114,Netflix Inc,Retail,Enterprise,International,GA,2590002,Net 60,Autumn Key,srocha@netflixinccorporate.com,30-01-2023,Active
CUST0000115,General Electric,Technology,Enterprise,Southwest,WA,4523884,Net 60,Brett Zavala MD,robin55@generalelectriccorporate.com,19-07-2022,Active
CUST0000116,Oracle Corporation,Media,Enterprise,West,WA,3757978,Net 45,Kathryn Pena,jonathan77@oraclecorporationcorporate.com,01-02-2024,Active
CUST0000117,Merck & Co,Media,Enterprise,Southeast,NY,2856634,Net 30,Ryan Hall,albertwagner@merck&cocorporate.com,04-03-2023,Active
CUST0000118,AT&T Inc,Pharmaceuticals,Enterprise,Midwest,NC,2452550,Net 30,Jonathan Wolfe,ldrake@at&tinccorporate.com,17-03-2024,Active
CUST0000119,Chevron Corporation,Manufacturing,Enterprise,West,NY,2340557,Net 60,Tyler Stevens,veronicaperez@chevroncorporationcorporate.com,17-04-2023,Active
CUST0000120,Cisco Systems,Telecommunications,Enterprise,Southeast,TX,2484334,Net 60,Anna Rice,hallrachel@ciscosystemscorporate.com,18-05-2023,Active
CUST0000121,Oracle Corporation,Media,Enterprise,Northeast,WA,1692040,Net 60,Michelle Sanders,evansanne@oraclecorporationcorporate.com,11-10-2022,Active
CUST0000122,Nike Inc,Pharmaceuticals,Enterprise,Midwest,TX,4614078,Net 30,Gina Mack,unovak@nikeinccorporate.com,16-05-2021,Active
CUST0000123,Bank of America,Media,Enterprise,Southeast,NY,4916170,Net 45,Rebecca Marquez,adamsnorman@bankofamericacorporate.com,11-10-2021,Inactive
CUST0000124,NVIDIA Corporation,Healthcare,Enterprise,Midwest,TX,3214459,Net 30,Justin Russell,davisangela@nvidiacorporationcorporate.com,15-09-2021,Inactive
CUST0000125,Visa Inc,Financial Services,Enterprise,West,WA,1108439,Net 45,Derrick Thomas,ryanfisher@visainccorporate.com,11-05-2022,Active
CUST0000126,Comcast Corporation,Media,Enterprise,Northeast,WA,3031389,Net 45,Regina Rivera,ryan92@comcastcorporationcorporate.com,24-02-2022,Active
CUST0000127,Procter & Gamble,Energy,Enterprise,International,PA,3161566,Net 30,Holly Frederick,brittanygardner@procter&gamblecorporate.com,08-03-2024,Active
CUST0000128,IBM Corporation,Media,Enterprise,Midwest,IL,1970956,Net 45,William Mendoza,sferguson@ibmcorporationcorporate.com,21-11-2024,Active
CUST0000129,PepsiCo Inc,Healthcare,Enterprise,Southeast,NY,3784990,Net 60,Adam Green,seanmyers@pepsicoinccorporate.com,07-11-2022,Active
CUST0000130,Merck & Co,Media,Enterprise,Southeast,NC,1373339,Net 45,John Alvarez,cbowen@merck&cocorporate.com,11-11-2024,Active
CUST0000131,Meta Platforms,Retail,Enterprise,Midwest,WA,1908341,Net 60,Jared Lopez,vfoster@metaplatformscorporate.com,29-06-2022,Active
CUST0000132,Tesla Inc,Telecommunications,Enterprise,Southwest,NY,2724763,Net 30,Brian Lambert,orose@teslainccorporate.com,13-04-2022,Active
CUST0000133,Meta Platforms,Telecommunications,Enterprise,Midwest,CA,510747,Net 30,Bruce Brooks,williambarnes@metaplatformscorporate.com,08-03-2022,Active
CUST0000134,Netflix Inc,Healthcare,Enterprise,Southwest,PA,3676871,Net 45,Ryan Harvey,stephanie72@netflixinccorporate.com,11-05-2021,Active
CUST0000135,Berkshire Hathaway,Consumer Goods,Enterprise,West,IL,1864461,Net 45,Philip Carter,jeffrey42@berkshirehathawaycorporate.com,27-12-2024,Active
CUST0000136,Alphabet Inc,Manufacturing,Enterprise,Northeast,WA,2690497,Net 30,Ronald Potter,nancy07@alphabetinccorporate.com,13-04-2024,Active
CUST0000137,Procter & Gamble,Energy,Enterprise,Southeast,CA,1281018,Net 45,Laura Patel,mariopadilla@procter&gamblecorporate.com,28-01-2024,Active
CUST0000138,AT&T Inc,Technology,Enterprise,Southwest,TX,4142336,Net 30,Katherine Ray,courtney67@at&tinccorporate.com,14-12-2023,Active
CUST0000139,Abbott Laboratories,Retail,Enterprise,Southeast,MA,2725202,Net 60,Matthew Howard,flynnraymond@abbottlaboratoriescorporate.com,14-07-2023,Active
CUST0000140,Chevron Corporation,Financial Services,Enterprise,Northeast,MA,4618372,Net 30,Alexis Noble,scottsmith@chevroncorporationcorporate.com,30-09-2022,Active
CUST0000141,Apple Inc,Energy,Enterprise,Northeast,FL,4529286,Net 30,Brandon Lewis,andersonjeremy@appleinccorporate.com,02-07-2022,Active
CUST0000142,Home Depot,Healthcare,Enterprise,International,FL,1187329,Net 45,James Li,darlenebyrd@homedepotcorporate.com,30-06-2023,Active
CUST0000143,Costco Wholesale,Energy,Enterprise,Southwest,PA,2723018,Net 30,Daniel Mosley,karenlawrence@costcowholesalecorporate.com,02-06-2024,Active
CUST0000144,Cisco Systems,Healthcare,Enterprise,Midwest,MA,3598765,Net 30,Elizabeth Holmes,juliephillips@ciscosystemscorporate.com,06-10-2024,Active
CUST0000145,AbbVie Inc,Consumer Goods,Enterprise,Southwest,FL,2397857,Net 45,Scott Carroll,amy27@abbvieinccorporate.com,02-11-2023,Active
CUST0000146,Visa Inc,Financial Services,Enterprise,Northeast,WA,3972771,Net 60,Joshua Jensen,christopher18@visainccorporate.com,03-01-2022,Active
CUST0000147,Amazon.com,Energy,Enterprise,West,MA,4992220,Net 60,Audrey Salazar,parkerjudith@amazoncomcorporate.com,11-01-2024,Active
CUST0000148,AT&T Inc,Media,Enterprise,Southeast,PA,3006953,Net 30,Morgan Wilson,rogersruben@at&tinccorporate.com,14-02-2024,Active
CUST0000149,Alphabet Inc,Pharmaceuticals,Enterprise,West,GA,1736880,Net 30,Megan Wilson,williamsmichelle@alphabetinccorporate.com,26-04-2022,Active
CUST0000150,Salesforce Inc,Healthcare,Enterprise,Southeast,IL,2116703,Net 30,Nathan Nelson,duncandavid@salesforceinccorporate.com,03-07-2022,Active
CUST0000151,Tesla Inc,Energy,Enterprise,Southeast,TX,2663307,Net 45,Richard Stevenson,stevenvargas@teslainccorporate.com,04-06-2024,Active
CUST0000152,Meta Platforms,Financial Services,Enterprise,Southwest,GA,3833255,Net 60,Ashley Moreno,robertwoodward@metaplatformscorporate.com,19-01-2023,Active
CUST0000153,Coca-Cola Company,Pharmaceuticals,Enterprise,Southwest,NY,4883567,Net 45,Jennifer Vargas,grahamtamara@coca-colacompanycorporate.com,20-10-2024,Active
CUST0000154,Visa Inc,Healthcare,Enterprise,West,NC,1340572,Net 30,Randy Rodriguez,martinsteven@visainccorporate.com,16-05-2024,Active
CUST0000155,Berkshire Hathaway,Manufacturing,Enterprise,West,WA,3946795,Net 45,Brandon Wright,randy04@berkshirehathawaycorporate.com,11-04-2021,Active
CUST0000156,Nike Inc,Media,Enterprise,West,PA,814284,Net 30,Courtney Gonzalez,owatson@nikeinccorporate.com,18-10-2024,Active
CUST0000157,Visa Inc,Media,Enterprise,West,MA,825331,Net 45,Thomas Hamilton,ycrawford@visainccorporate.com,09-01-2023,Active
CUST0000158,Abbott Laboratories,Retail,Enterprise,Northeast,PA,2753048,Net 45,Karen Miller,mtaylor@abbottlaboratoriescorporate.com,10-02-2022,Inactive
CUST0000159,Costco Wholesale,Manufacturing,Enterprise,Midwest,PA,1323907,Net 30,Kyle Johnson,brian78@costcowholesalecorporate.com,08-10-2024,Active
CUST0000160,Salesforce Inc,Telecommunications,Enterprise,Midwest,MA,1248992,Net 30,Carrie Young MD,robin05@salesforceinccorporate.com,22-05-2021,Active
CUST0000161,Netflix Inc,Consumer Goods,Enterprise,West,WA,971488,Net 60,Daniel Fox,riverachristina@netflixinccorporate.com,14-11-2024,Active
CUST0000162,Meta Platforms,Manufacturing,Enterprise,International,GA,3883839,Net 30,Tom Foster,rogersmarcus@metaplatformscorporate.com,04-04-2022,Active
CUST0000163,Walt Disney Company,Media,Enterprise,Northeast,TX,2117016,Net 30,Bethany Daniel,xrosales@waltdisneycompanycorporate.com,09-05-2022,Active
CUST0000164,Chevron Corporation,Technology,Enterprise,Southwest,NY,3523045,Net 60,Gregory Flores,underwoodelizabeth@chevroncorporationcorporate.com,17-12-2023,Active
CUST0000165,Intel Corporation,Consumer Goods,Enterprise,West,MA,1539120,Net 60,Stacey Snyder,ybell@intelcorporationcorporate.com,27-01-2022,Active
CUST0000166,Intel Corporation,Consumer Goods,Enterprise,West,PA,1989679,Net 45,Glenn Barron,jessicapayne@intelcorporationcorporate.com,30-03-2021,Active
CUST0000167,Oracle Corporation,Telecommunications,Enterprise,Southeast,FL,1258262,Net 45,William Ortiz,donna43@oraclecorporationcorporate.com,19-05-2021,Inactive
CUST0000168,Amazon.com,Healthcare,Enterprise,West,IL,2356827,Net 60,Lori Castillo,johnsongeorge@amazoncomcorporate.com,04-07-2022,Active
CUST0000169,Home Depot,Manufacturing,Enterprise,International,MA,4805715,Net 30,Dennis Marshall,maryelliott@homedepotcorporate.com,20-04-2024,Active
CUST0000170,Apple Inc,Consumer Goods,Enterprise,Southeast,TX,570998,Net 30,Joseph Camacho,parmstrong@appleinccorporate.com,01-12-2024,Active
CUST0000171,Costco Wholesale,Manufacturing,Enterprise,Southwest,MA,3425184,Net 45,Beth Henderson,oharris@costcowholesalecorporate.com,09-02-2023,Active
CUST0000172,Verizon Communications,Manufacturing,Enterprise,International,GA,3831556,Net 60,Alexandria Graves,jrodriguez@verizoncommunicationscorporate.com,31-01-2022,Active
CUST0000173,Pfizer Inc,Telecommunications,Enterprise,West,NC,2871265,Net 45,Laura Kennedy,joshuathomas@pfizerinccorporate.com,24-02-2022,Active
