Product_ID,SKU,UPC,Product_Name,Category,Brand,Unit_Cost_USD,Unit_Price_USD,Supplier_ID,Stock_Status,Warranty_Months
32,LAP-000032,106343579654,Microsoft Surface Laptop 5,Laptops,Microsoft,1690.56,2179.31,SUP00025,In Stock,36
33,LAP-000033,342615098233,Lenovo ThinkPad Laptop 5,Laptops,Lenovo,1631.47,2012.91,SUP00015,In Stock,36
34,LAP-000034,283498961791,Microsoft Surface Laptop 5,Laptops,Microsoft,683.38,878.71,SUP00026,Low Stock,60
35,LAP-000035,570912023998,HP EliteBook 5420,Laptops,HP,1692.97,2171.4,SUP00006,Out of Stock,24
36,MON-000036,934673209247,Samsung ViewFinity E24 G5,Monitors,Samsung,203.63,255.13,SUP00021,Low Stock,60
37,MON-000037,346316204099,LG UltraWide S27A600,Monitors,LG,298.57,359.73,SUP00004,In Stock,12
38,MON-000038,238463496194,Dell UltraSharp U2723DE,Monitors,Dell,626.32,754.78,SUP00010,In Stock,60
39,MON-000039,217300018982,Dell UltraSharp E24 G5,Monitors,Dell,398.57,515.04,SUP00008,In Stock,12
40,MON-000040,864941841452,LG UltraWide S27A600,Monitors,LG,366.43,446.68,SUP00016,In Stock,36
41,MON-000041,476443331852,Dell UltraSharp U2723DE,Monitors,Dell,343.19,443.62,SUP00033,In Stock,12
42,MON-000042,270541592056,Samsung ViewFinity S27A600,Monitors,Samsung,229.6,312.0,SUP00030,In Stock,60
43,MON-000043,751679795363,HP E-Series 34WN80C,Monitors,HP,469.48,654.3,SUP00030,In Stock,36
44,MON-000044,610029412031,LG UltraWide E24 G5,Monitors,LG,570.44,810.26,SUP00016,Low Stock,60
45,MON-000045,386894505438,LG UltraWide U2723DE,Monitors,LG,412.32,545.04,SUP00023,In Stock,36
46,MON-000046,549769295925,LG UltraWide 34WN80C,Monitors,LG,441.22,550.54,SUP00016,In Stock,60
47,MON-000047,341781900773,HP E-Series S27A600,Monitors,HP,483.57,676.14,SUP00006,In Stock,60
48,MON-000048,704499189734,HP E-Series 34WN80C,Monitors,HP,492.06,658.56,SUP00023,In Stock,36
49,MON-000049,230204286982,LG UltraWide S27A600,Monitors,LG,307.33,378.07,SUP00013,In Stock,24
50,MON-000050,211585443515,HP E-Series E24 G5,Monitors,HP,527.14,710.27,SUP00019,In Stock,24
51,MON-000051,148422798459,LG UltraWide E24 G5,Monitors,LG,349.61,481.41,SUP00009,Out of Stock,12
52,MON-000052,411703232379,LG UltraWide E24 G5,Monitors,LG,479.8,588.07,SUP00001,Low Stock,60
53,MON-000053,538367312099,Samsung ViewFinity S27A600,Monitors,Samsung,340.13,429.62,SUP00031,Low Stock,60
54,MON-000054,374851785492,Dell UltraSharp U2723DE,Monitors,Dell,251.31,361.2,SUP00006,Low Stock,12
55,MON-000055,747939482105,Samsung ViewFinity E24 G5,Monitors,Samsung,544.58,777.18,SUP00020,In Stock,60
56,MON-000056,334614800586,LG UltraWide U2723DE,Monitors,LG,466.53,670.36,SUP00014,Low Stock,36
57,MON-000057,857849142762,Dell UltraSharp E24 G5,Monitors,Dell,292.74,362.74,SUP00027,In Stock,60
58,MON-000058,851924991536,LG UltraWide U2723DE,Monitors,LG,288.79,397.3,SUP00030,In Stock,24
59,MON-000059,258169176459,LG UltraWide E24 G5,Monitors,LG,379.82,517.28,SUP00018,In Stock,12
60,MON-000060,235030135894,Dell UltraSharp E24 G5,Monitors,Dell,552.54,776.9,SUP00019,In Stock,60
61,MON-000061,145518220870,LG UltraWide S27A600,Monitors,LG,623.06,824.59,SUP00006,In Stock,60
62,MON-000062,941811753545,LG UltraWide 34WN80C,Monitors,LG,192.16,262.99,SUP00002,In Stock,36
63,MON-000063,744231975324,Dell UltraSharp E24 G5,Monitors,Dell,401.14,573.24,SUP00012,Low Stock,60
64,MON-000064,279777594736,Samsung ViewFinity U2723DE,Monitors,Samsung,400.9,513.26,SUP00007,In Stock,36
65,MON-000065,196442742929,Samsung ViewFinity S27A600,Monitors,Samsung,315.46,442.71,SUP00003,In Stock,36
66,MON-000066,609136562669,LG UltraWide 34WN80C,Monitors,LG,234.48,332.08,SUP00001,In Stock,60
67,MON-000067,159098709360,Dell UltraSharp E24 G5,Monitors,Dell,423.67,561.2,SUP00029,In Stock,24
68,MON-000068,768425855938,LG UltraWide E24 G5,Monitors,LG,616.01,846.74,SUP00008,Low Stock,24
69,MON-000069,809174117091,HP E-Series 34WN80C,Monitors,HP,438.89,536.9,SUP00008,In Stock,24
70,MON-000070,599263022595,Samsung ViewFinity 34WN80C,Monitors,Samsung,419.17,590.48,SUP00031,Out of Stock,24
71,OFF-000071,947295030873,HON Ignition Remastered,Office_Chairs,HON,1135.93,1669.63,SUP00008,Low Stock,60
72,OFF-000072,639705335953,Haworth Zody Executive,Office_Chairs,Haworth,1052.85,1394.65,SUP00012,In Stock,24
73,OFF-000073,456193888210,HON Ignition 2.0,Office_Chairs,HON,663.0,918.82,SUP00011,In Stock,24
74,OFF-000074,520096802415,Herman Miller Aeron 2.0,Office_Chairs,Herman,571.52,720.64,SUP00011,Low Stock,60
75,OFF-000075,211109516823,Herman Miller Aeron 2.0,Office_Chairs,Herman,1171.16,1746.6,SUP00010,In Stock,60
76,OFF-000076,615717460412,Steelcase Leap 2.0,Office_Chairs,Steelcase,392.59,576.22,SUP00009,In Stock,36
77,OFF-000077,788554816658,Haworth Zody 2.0,Office_Chairs,Haworth,912.87,1335.61,SUP00012,Low Stock,60
78,OFF-000078,201991584928,Steelcase Leap V2,Office_Chairs,Steelcase,572.51,756.77,SUP00009,In Stock,60
79,OFF-000079,973271539679,Steelcase Leap V2,Office_Chairs,Steelcase,743.82,1097.77,SUP00008,In Stock,12
80,OFF-000080,970511704083,Haworth Zody Executive,Office_Chairs,Haworth,687.37,950.49,SUP00012,In Stock,24
81,OFF-000081,257123463473,Herman Miller Aeron Remastered,Office_Chairs,Herman,444.75,624.84,SUP00009,Low Stock,24
82,OFF-000082,417403277612,HON Ignition Executive,Office_Chairs,HON,756.85,1116.15,SUP00011,In Stock,24
83,OFF-000083,377842780911,Steelcase Leap 2.0,Office_Chairs,Steelcase,1155.09,1530.25,SUP00011,In Stock,60
84,OFF-000084,493298413208,Haworth Zody Remastered,Office_Chairs,Haworth,1199.49,1531.34,SUP00011,In Stock,36
85,OFF-000085,855334712984,Haworth Zody V2,Office_Chairs,Haworth,1181.91,1558.49,SUP00012,In Stock,12
86,OFF-000086,308892683171,HON Ignition Executive,Office_Chairs,HON,1016.11,1473.85,SUP00009,In Stock,36
87,OFF-000087,735798459372,Herman Miller Aeron V2,Office_Chairs,Herman,1120.79,1487.55,SUP00011,In Stock,36
88,OFF-000088,963856048497,Herman Miller Aeron V2,Office_Chairs,Herman,1125.89,1524.32,SUP00009,In Stock,36
89,OFF-000089,981923066620,Haworth Zody Remastered,Office_Chairs,Haworth,590.72,809.56,SUP00010,Low Stock,12
90,OFF-000090,713341033639,HON Ignition V2,Office_Chairs,HON,495.42,725.81,SUP00011,In Stock,36
91,OFF-000091,519122494202,Steelcase Leap 2.0,Office_Chairs,Steelcase,391.41,533.76,SUP00010,In Stock,36
92,OFF-000092,773945892375,Steelcase Leap Remastered,Office_Chairs,Steelcase,766.61,1139.02,SUP00010,In Stock,24
93,OFF-000093,430872306667,Steelcase Leap 2.0,Office_Chairs,Steelcase,1125.7,1522.03,SUP00009,Low Stock,60
94,OFF-000094,867695941207,Steelcase Leap V2,Office_Chairs,Steelcase,572.54,771.3,SUP00010,In Stock,60
95,OFF-000095,856054759475,Herman Miller Aeron 2.0,Office_Chairs,Herman,917.04,1287.44,SUP00010,Low Stock,36
96,OFF-000096,812869405517,Herman Miller Aeron 2.0,Office_Chairs,Herman,744.65,998.33,SUP00010,In Stock,36
97,OFF-000097,826243207371,Steelcase Leap 2.0,Office_Chairs,Steelcase,606.22,901.6,SUP00011,In Stock,24
98,OFF-000098,173895795270,Steelcase Leap V2,Office_Chairs,Steelcase,1025.17,1313.74,SUP00012,In Stock,24
99,OFF-000099,263140158617,Herman Miller Aeron Remastered,Office_Chairs,Herman,649.42,957.98,SUP00008,In Stock,24
100,OFF-000100,966681384799,Haworth Zody Remastered,Office_Chairs,Haworth,470.14,603.17,SUP00010,In Stock,24
101,OFF-000101,916531906281,Haworth Zody V2,Office_Chairs,Haworth,522.88,750.56,SUP00012,In Stock,12
102,OFF-000102,149886504030,HON Ignition 2.0,Office_Chairs,HON,1017.97,1300.22,SUP00012,In Stock,36
103,OFF-000103,883789736548,HON Ignition V2,Office_Chairs,HON,429.88,580.51,SUP00008,In Stock,60
104,OFF-000104,742669170937,Steelcase Leap V2,Office_Chairs,Steelcase,644.13,825.48,SUP00012,In Stock,36
105,OFF-000105,820922255341,HON Ignition Executive,Office_Chairs,HON,752.05,958.71,SUP00008,Low Stock,24
106,DES-000106,900650578998,Knoll Anchor,Desks,Knoll,1382.5,1887.78,SUP00026,In Stock,12
107,DES-000107,199072583186,Haworth Anchor,Desks,Haworth,778.15,1082.19,SUP00031,In Stock,12
108,DES-000108,716592318610,Steelcase Anchor,Desks,Steelcase,551.39,751.19,SUP00004,Low Stock,36
109,DES-000109,417691853029,Steelcase Anchor,Desks,Steelcase,821.28,1108.77,SUP00004,In Stock,36
110,DES-000110,219603134767,Haworth Height-Adj,Desks,Haworth,1056.81,1406.98,SUP00015,In Stock,36
111,DES-000111,395036212198,Haworth Height-Adj,Desks,Haworth,1250.74,1702.81,SUP00002,In Stock,12
112,DES-000112,719090551088,Herman Miller Upstage,Desks,Herman,1187.83,1506.13,SUP00001,In Stock,60
113,DES-000113,561177243339,Steelcase Motia,Desks,Steelcase,1228.02,1496.16,SUP00014,Low Stock,60
114,DES-000114,159628500646,Haworth Motia,Desks,Haworth,838.56,1136.56,SUP00006,Low Stock,24
115,DES-000115,587938676045,Herman Miller Height-Adj,Desks,Herman,1157.67,1542.47,SUP00032,In Stock,60
116,DES-000116,845942265869,Haworth Motia,Desks,Haworth,1242.69,1598.08,SUP00019,Low Stock,60
117,DES-000117,942720833045,Haworth Height-Adj,Desks,Haworth,681.54,825.32,SUP00014,Low Stock,24
118,DES-000118,517166676092,Haworth Upstage,Desks,Haworth,794.53,752.51,SUP00012,In Stock,24
119,DES-000119,185560741164,Haworth Height-Adj,Desks,Haworth,866.92,1115.94,SUP00030,Low Stock,36
120,DES-000120,460632081634,Knoll Anchor,Desks,Knoll,1194.97,1461.49,SUP00002,In Stock,24
121,DES-000121,188149747921,Knoll Upstage,Desks,Knoll,542.54,677.45,SUP00026,Low Stock,60
122,DES-000122,660624678846,Haworth Upstage,Desks,Haworth,682.65,829.61,SUP00008,Low Stock,24
123,DES-000123,259355332042,Haworth Upstage,Desks,Haworth,1213.75,1654.35,SUP00016,In Stock,36
124,DES-000124,950194325949,Herman Miller Motia,Desks,Herman,1082.52,1440.94,SUP00012,In Stock,60
125,DES-000125,446291261920,Knoll Anchor,Desks,Knoll,1165.19,1548.07,SUP00021,In Stock,24
126,DES-000126,655562361507,Knoll Height-Adj,Desks,Knoll,942.37,1280.93,SUP00004,In Stock,12
127,DES-000127,774697686009,Haworth Anchor,Desks,Haworth,924.51,1263.19,SUP00005,Low Stock,60
128,DES-000128,622289523089,Knoll Height-Adj,Desks,Knoll,922.22,1226.89,SUP00021,Low Stock,24
129,DES-000129,810836625307,Steelcase Anchor,Desks,Steelcase,558.68,708.79,SUP00006,In Stock,24
130,DES-000130,509584822948,Steelcase Motia,Desks,Steelcase,1193.0,1556.64,SUP00011,In Stock,36
131,DES-000131,461060342132,Knoll Anchor,Desks,Knoll,1263.19,1529.06,SUP00022,In Stock,12
132,DES-000132,187331124984,Knoll Upstage,Desks,Knoll,714.6,995.35,SUP00010,In Stock,24
133,DES-000133,715509967407,Haworth Upstage,Desks,Haworth,1466.08,1874.22,SUP00006,In Stock,60
134,DES-000134,837214063081,Haworth Motia,Desks,Haworth,1153.62,1554.8,SUP00006,In Stock,60
135,DES-000135,345637792072,Haworth Height-Adj,Desks,Haworth,830.73,1032.46,SUP00032,Low Stock,24
136,DES-000136,472210151899,Herman Miller Height-Adj,Desks,Herman,760.58,989.92,SUP00003,In Stock,24
137,DES-000137,584133794547,Knoll Motia,Desks,Knoll,620.36,840.1,SUP00011,In Stock,12
138,DES-000138,923570248966,Knoll Upstage,Desks,Knoll,1160.18,1495.29,SUP00019,In Stock,60
139,DES-000139,844609207085,Herman Miller Motia,Desks,Herman,774.94,1002.62,SUP00013,In Stock,60
140,DES-000140,322551853248,Knoll Upstage,Desks,Knoll,1267.03,1626.53,SUP00011,Out of Stock,24
141,PRI-000141,409773132256,Brother MFC Pro M404,Printers,Brother,602.65,777.97,SUP00007,Out of Stock,12
142,PRI-000142,998601810842,Canon imageCLASS L2750DW,Printers,Canon,497.13,669.24,SUP00006,In Stock,60
143,PRI-000143,190170799779,Brother MFC Pro M404,Printers,Brother,478.19,600.03,SUP00025,In Stock,36
144,PRI-000144,262312743925,Canon imageCLASS Pro M404,Printers,Canon,425.28,562.62,SUP00022,In Stock,24
145,PRI-000145,776236594141,HP LaserJet L2750DW,Printers,HP,754.57,1015.82,SUP00031,In Stock,12
146,PRI-000146,950881068534,HP LaserJet Pro M404,Printers,HP,390.76,503.99,SUP00028,In Stock,36
147,PRI-000147,220528838961,Canon imageCLASS L2750DW,Printers,Canon,317.02,414.6,SUP00030,In Stock,60
148,PRI-000148,728098440767,HP LaserJet MF445dw,Printers,HP,645.2,761.54,SUP00023,In Stock,60
149,PRI-000149,707770611156,Canon imageCLASS Pro M404,Printers,Canon,537.92,737.32,SUP00033,In Stock,12
150,PRI-000150,964822132994,Epson WorkForce WF-7840,Printers,Epson,273.94,343.7,SUP00002,In Stock,12
151,PRI-000151,147817630111,Brother MFC MF445dw,Printers,Brother,653.12,871.46,SUP00022,Low Stock,36
152,PRI-000152,300281780432,Brother MFC MF445dw,Printers,Brother,706.71,972.55,SUP00031,In Stock,24
153,PRI-000153,663972481559,HP LaserJet WF-7840,Printers,HP,270.34,361.77,SUP00003,In Stock,60
154,PRI-000154,820978113703,Epson WorkForce L2750DW,Printers,Epson,270.14,334.22,SUP00004,In Stock,36
155,PRI-000155,471027814103,Brother MFC Pro M404,Printers,Brother,689.64,868.95,SUP00029,Out of Stock,24
156,PRI-000156,566979258469,Epson WorkForce WF-7840,Printers,Epson,452.04,557.52,SUP00006,In Stock,12
157,PRI-000157,590942661434,Epson WorkForce MF445dw,Printers,Epson,550.01,657.82,SUP00019,In Stock,60
158,PRI-000158,402515765955,Canon imageCLASS WF-7840,Printers,Canon,443.35,600.3,SUP00023,Low Stock,12
159,PRI-000159,845638847947,HP LaserJet WF-7840,Printers,HP,449.82,591.91,SUP00002,In Stock,60
160,PRI-000160,726848188124,HP LaserJet MF445dw,Printers,HP,286.98,359.66,SUP00025,In Stock,12
161,PRI-000161,501705971417,Canon imageCLASS WF-7840,Printers,Canon,771.85,1028.58,SUP00009,In Stock,60
162,PRI-000162,527425461312,Brother MFC L2750DW,Printers,Brother,387.29,513.99,SUP00032,In Stock,12
163,PRI-000163,234003745604,Brother MFC L2750DW,Printers,Brother,637.22,829.9,SUP00032,In Stock,24
164,PRI-000164,480825472103,HP LaserJet WF-7840,Printers,HP,344.96,475.86,SUP00021,In Stock,12
165,PRI-000165,498545891235,Brother MFC L2750DW,Printers,Brother,718.25,980.75,SUP00012,In Stock,24
166,PRI-000166,729444729179,HP LaserJet MF445dw,Printers,HP,685.64,876.8,SUP00024,Low Stock,36
167,PRI-000167,553229411741,Epson WorkForce MF445dw,Printers,Epson,586.57,728.44,SUP00031,In Stock,60
168,PRI-000168,958259250541,HP LaserJet MF445dw,Printers,HP,784.81,996.7,SUP00023,In Stock,24
169,PRI-000169,281694831414,Canon imageCLASS WF-7840,Printers,Canon,526.58,708.92,SUP00010,In Stock,24
170,PRI-000170,315824706429,Brother MFC MF445dw,Printers,Brother,440.31,598.37,SUP00006,In Stock,36
171,PRI-000171,822289806797,Canon imageCLASS L2750DW,Printers,Canon,587.94,769.14,SUP00010,In Stock,36
172,PRI-000172,330429848664,HP LaserJet Pro M404,Printers,HP,294.67,393.15,SUP00017,In Stock,60
173,PRI-000173,368362204552,HP LaserJet WF-7840,Printers,HP,738.95,966.83,SUP00020,In Stock,60
174,PRI-000174,325333063288,Brother MFC WF-7840,Printers,Brother,290.14,367.87,SUP00031,In Stock,36
175,PRI-000175,542275864174,Canon imageCLASS L2750DW,Printers,Canon,723.82,997.14,SUP00023,In Stock,24
176,KEY-000176,203684279962,Dell Premier Keys,Keyboards,Dell,78.51,108.36,SUP00016,In Stock,12
177,KEY-000177,459976146311,Dell Premier Keyboard,Keyboards,Dell,135.74,215.66,SUP00011,In Stock,36
178,KEY-000178,123611025550,Microsoft Sculpt Ergonomic,Keyboards,Microsoft,97.32,141.08,SUP00020,In Stock,12
179,KEY-000179,642374295556,HP Collaboration Keyboard,Keyboards,HP,146.5,205.96,SUP00004,Low Stock,60
180,KEY-000180,545662371308,Dell Premier Keys,Keyboards,Dell,133.95,209.6,SUP00024,In Stock,36
181,KEY-000181,521222611462,Logitech MX Keyboard,Keyboards,Logitech,50.37,70.96,SUP00019,In Stock,60
182,KEY-000182,930498955541,Dell Premier Keys,Keyboards,Dell,58.51,82.61,SUP00022,In Stock,24
183,KEY-000183,623144049876,Microsoft Sculpt Keyboard,Keyboards,Microsoft,97.51,130.77,SUP00022,Low Stock,60
184,KEY-000184,471917215429,Microsoft Sculpt Ergonomic,Keyboards,Microsoft,79.44,107.14,SUP00020,Low Stock,60
185,KEY-000185,437514430692,Dell Premier Keyboard,Keyboards,Dell,130.65,196.25,SUP00027,In Stock,12
186,KEY-000186,158932964743,HP Collaboration KM7321W,Keyboards,HP,146.54,224.62,SUP00015,In Stock,60
187,KEY-000187,117999281655,Microsoft Sculpt Keyboard,Keyboards,Microsoft,60.52,79.25,SUP00008,Low Stock,60
188,KEY-000188,902024314077,Dell Premier Keyboard,Keyboards,Dell,60.9,86.67,SUP00031,In Stock,12
189,KEY-000189,603254986487,Microsoft Sculpt Ergonomic,Keyboards,Microsoft,103.89,149.97,SUP00025,In Stock,36
190,KEY-000190,947386802116,Dell Premier KM7321W,Keyboards,Dell,109.06,149.84,SUP00020,In Stock,36
191,KEY-000191,234380032135,Microsoft Sculpt Keyboard,Keyboards,Microsoft,78.29,123.71,SUP00018,In Stock,60
192,KEY-000192,885787089052,HP Collaboration KM7321W,Keyboards,HP,145.23,201.45,SUP00019,Low Stock,12
193,KEY-000193,718187630594,Dell Premier Keyboard,Keyboards,Dell,113.88,155.35,SUP00018,Low Stock,36
194,KEY-000194,356143021540,Microsoft Sculpt Keys,Keyboards,Microsoft,109.65,150.52,SUP00015,In Stock,12
195,KEY-000195,275789144602,Logitech MX Keyboard,Keyboards,Logitech,79.68,119.87,SUP00009,In Stock,60
196,KEY-000196,167198619879,HP Collaboration Keyboard,Keyboards,HP,113.31,157.07,SUP00019,In Stock,12
197,KEY-000197,537383162273,Microsoft Sculpt Keys,Keyboards,Microsoft,140.89,220.45,SUP00012,In Stock,60
198,KEY-000198,410676640252,Microsoft Sculpt KM7321W,Keyboards,Microsoft,137.06,126.62,SUP00007,Low Stock,60
199,KEY-000199,277513936539,HP Collaboration Ergonomic,Keyboards,HP,134.36,182.44,SUP00008,Low Stock,60
200,KEY-000200,770768643085,Dell Premier Ergonomic,Keyboards,Dell,46.48,64.54,SUP00013,Low Stock,60
201,KEY-000201,454237968022,HP Collaboration KM7321W,Keyboards,HP,54.11,73.34,SUP00009,In Stock,24
202,KEY-000202,741246974592,Logitech MX KM7321W,Keyboards,Logitech,85.28,117.69,SUP00022,In Stock,12
203,KEY-000203,543067610038,Dell Premier KM7321W,Keyboards,Dell,117.74,157.24,SUP00020,In Stock,36
204,KEY-000204,598874133330,Logitech MX KM7321W,Keyboards,Logitech,83.59,132.67,SUP00031,Low Stock,36
205,KEY-000205,931850734401,HP Collaboration Keyboard,Keyboards,HP,124.52,192.72,SUP00016,In Stock,12
206,KEY-000206,727933481969,HP Collaboration KM7321W,Keyboards,HP,53.2,70.15,SUP00033,In Stock,24
207,KEY-000207,591818317190,Microsoft Sculpt KM7321W,Keyboards,Microsoft,134.72,202.63,SUP00032,In Stock,12
208,KEY-000208,987652778287,HP Collaboration Ergonomic,Keyboards,HP,98.89,130.27,SUP00030,In Stock,36
209,KEY-000209,564050986189,Logitech MX Keyboard,Keyboards,Logitech,71.72,62.99,SUP00005,In Stock,36
210,KEY-000210,547909643985,Logitech MX Keys,Keyboards,Logitech,143.13,226.16,SUP00003,In Stock,24
211,SOF-000211,187512731223,Adobe Creative LT,Software_Licenses,Adobe,1385.68,1617.48,SUP00032,In Stock,24
212,SOF-000212,103585531525,Salesforce Business,Software_Licenses,Salesforce,723.24,852.94,SUP00030,In Stock,12
213,SOF-000213,603574229747,Salesforce LT,Software_Licenses,Salesforce,2396.43,2827.28,SUP00030,In Stock,36
214,SOF-000214,829326155336,Adobe Creative Professional,Software_Licenses,Adobe,757.06,919.69,SUP00029,In Stock,60
215,SOF-000215,875980432823,Microsoft 365 Cloud,Software_Licenses,Microsoft,816.56,902.33,SUP00033,In Stock,12
216,SOF-000216,650357691607,Adobe Creative Business,Software_Licenses,Adobe,1479.66,1675.85,SUP00029,In Stock,36
217,SOF-000217,674066241127,Adobe Creative Professional,Software_Licenses,Adobe,2071.86,2533.38,SUP00030,In Stock,24
218,SOF-000218,845717962258,AutoCAD Professional,Software_Licenses,AutoCAD,1050.02,1248.21,SUP00030,In Stock,60
219,SOF-000219,865873132760,AutoCAD Business,Software_Licenses,AutoCAD,3406.34,4090.0,SUP00033,In Stock,60
220,SOF-000220,348461027407,AutoCAD Cloud,Software_Licenses,AutoCAD,1133.62,1338.45,SUP00030,Low Stock,36
221,SOF-000221,248305185574,Adobe Creative LT,Software_Licenses,Adobe,3211.83,3999.27,SUP00033,In Stock,60
222,SOF-000222,688807649379,Adobe Creative Professional,Software_Licenses,Adobe,807.28,999.68,SUP00031,In Stock,24
223,SOF-000223,981276450865,Microsoft 365 Professional,Software_Licenses,Microsoft,1394.83,1542.59,SUP00029,In Stock,24
224,SOF-000224,232033630640,AutoCAD Cloud,Software_Licenses,AutoCAD,3058.82,3803.8,SUP00029,In Stock,60
225,SOF-000225,612736037960,Adobe Creative Cloud,Software_Licenses,Adobe,1460.62,1677.15,SUP00031,In Stock,36
226,SOF-000226,504599351747,Salesforce Professional,Software_Licenses,Salesforce,1335.6,1562.52,SUP00032,In Stock,36
227,SOF-000227,738163557720,AutoCAD Business,Software_Licenses,AutoCAD,2021.33,2267.71,SUP00031,Out of Stock,60
228,SOF-000228,703439904963,Salesforce Cloud,Software_Licenses,Salesforce,783.13,928.38,SUP00030,In Stock,36
229,SOF-000229,975025593858,Salesforce LT,Software_Licenses,Salesforce,3386.8,3974.71,SUP00030,Low Stock,36
230,SOF-000230,808628043770,Adobe Creative Cloud,Software_Licenses,Adobe,2554.66,3161.48,SUP00033,In Stock,12
231,SOF-000231,356111913411,Microsoft 365 Business,Software_Licenses,Microsoft,3314.74,4026.25,SUP00032,Low Stock,12
232,SOF-000232,632201215051,Adobe Creative Business,Software_Licenses,Adobe,859.27,952.99,SUP00033,In Stock,60
233,SOF-000233,118411187094,Microsoft 365 Business,Software_Licenses,Microsoft,1918.88,2115.58,SUP00031,In Stock,60
234,SOF-000234,377139018198,Adobe Creative Business,Software_Licenses,Adobe,3223.01,3661.81,SUP00033,In Stock,36
235,SOF-000235,868757197171,Salesforce LT,Software_Licenses,Salesforce,387.09,452.45,SUP00030,In Stock,24
236,SOF-000236,518352484747,Salesforce Business,Software_Licenses,Salesforce,2329.63,2828.03,SUP00029,In Stock,60
237,SOF-000237,961763314712,AutoCAD Business,Software_Licenses,AutoCAD,2272.21,2527.61,SUP00032,In Stock,36
